gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
MEIS1,0.076085495,1.486078826,0.137258272,Kendall's rank correlation tau,two.sided,41,185
CTBP2,0.079715015,1.556969512,0.119477724,Kendall's rank correlation tau,two.sided,40,186
CCR4,0.081193709,1.585850902,0.112773136,Kendall's rank correlation tau,two.sided,39,187
TMUB2,0.085092082,1.66199275,0.096514228,Kendall's rank correlation tau,two.sided,38,188
KCNK10,0.085226509,1.664618331,0.095988926,Kendall's rank correlation tau,two.sided,37,189
KIF26B,0.086705202,1.693499722,0.090360388,Kendall's rank correlation tau,two.sided,36,190
NAA50,0.087780616,1.714504369,0.086436135,Kendall's rank correlation tau,two.sided,35,191
IDE,0.092888829,1.814276446,0.069635176,Kendall's rank correlation tau,two.sided,34,192
RCOR1,0.100282296,1.958683399,0.050149876,Kendall's rank correlation tau,two.sided,33,193
PSMD9,0.103508536,2.021697342,0.043207629,Kendall's rank correlation tau,two.sided,32,194
SPIRE1,0.105121656,2.053204314,0.040052766,Kendall's rank correlation tau,two.sided,31,195
EYA3,0.105659363,2.063706638,0.03904554,Kendall's rank correlation tau,two.sided,30,196
ZDHHC13,0.105928216,2.068957799,0.038550047,Kendall's rank correlation tau,two.sided,29,197
CYSLTR1,0.10781019,2.105715933,0.035229035,Kendall's rank correlation tau,two.sided,28,198
FBXO42,0.114531523,2.236994981,0.025286668,Kendall's rank correlation tau,two.sided,27,199
SLC25A12,0.114531523,2.236994981,0.025286668,Kendall's rank correlation tau,two.sided,27,199
PLAG1,0.117220056,2.2895066,0.022049935,Kendall's rank correlation tau,two.sided,26,200
ST6GALNAC5,0.11789219,2.302634505,0.021299416,Kendall's rank correlation tau,two.sided,25,201
GDAP2,0.125420083,2.449667039,0.014298837,Kendall's rank correlation tau,two.sided,24,202
PEX19,0.133485684,2.607201897,0.009128552,Kendall's rank correlation tau,two.sided,23,203
KAZN,0.13362011,2.609827478,0.00905879,Kendall's rank correlation tau,two.sided,22,204
IARS2,0.13845947,2.704348393,0.006843849,Kendall's rank correlation tau,two.sided,21,205
ZMPSTE24,0.13845947,2.704348393,0.006843849,Kendall's rank correlation tau,two.sided,21,205
BACH1,0.141551284,2.764736755,0.005696875,Kendall's rank correlation tau,two.sided,20,206
CAPN3,0.14249227,2.783115822,0.005383958,Kendall's rank correlation tau,two.sided,19,207
