gene,estimate,statistic,p.value,method,alternative,pos_corr_rank,neg_corr_rank
MED1,-0.074069095,-1.446695111,0.147982334,Kendall's rank correlation tau,two.sided,159,73
UBAP2L,-0.073934669,-1.44406953,0.148719418,Kendall's rank correlation tau,two.sided,158,74
PAPOLG,-0.073800242,-1.441443949,0.149459302,Kendall's rank correlation tau,two.sided,157,75
GAN,-0.070977282,-1.386306749,0.165653257,Kendall's rank correlation tau,two.sided,156,76
KLHL11,-0.070977282,-1.386306749,0.165653257,Kendall's rank correlation tau,two.sided,156,76
SNX16,-0.070439575,-1.375804425,0.168882191,Kendall's rank correlation tau,two.sided,155,77
PRPF4B,-0.068154322,-1.331169549,0.183133229,Kendall's rank correlation tau,two.sided,154,78
DDHD1,-0.068019895,-1.328543968,0.183998469,Kendall's rank correlation tau,two.sided,153,79
NPAS3,-0.065600215,-1.28128351,0.200094103,Kendall's rank correlation tau,two.sided,152,80
RABIF,-0.064121522,-1.25240212,0.210423374,Kendall's rank correlation tau,two.sided,151,81
KIAA1919,-0.063583815,-1.241899796,0.214273535,Kendall's rank correlation tau,two.sided,150,82
MLLT3,-0.063180535,-1.234023053,0.217194314,Kendall's rank correlation tau,two.sided,149,83
KCNK12,-0.061701842,-1.205141662,0.228148619,Kendall's rank correlation tau,two.sided,148,84
SRRM2,-0.060895282,-1.189388177,0.234286951,Kendall's rank correlation tau,two.sided,147,85
TWIST1,-0.059685442,-1.165757948,0.243712324,Kendall's rank correlation tau,two.sided,146,86
COPS2,-0.057937895,-1.131625395,0.257791959,Kendall's rank correlation tau,two.sided,145,87
LEP,-0.057669042,-1.126374233,0.260007148,Kendall's rank correlation tau,two.sided,144,88
BNC2,-0.057400188,-1.121123072,0.262235479,Kendall's rank correlation tau,two.sided,143,89
PDCD4,-0.056593628,-1.105369586,0.268999477,Kendall's rank correlation tau,two.sided,142,90
HCN1,-0.055921495,-1.092241681,0.274726886,Kendall's rank correlation tau,two.sided,141,91
LRP6,-0.055518215,-1.084364938,0.278203023,Kendall's rank correlation tau,two.sided,140,92
ZNF667,-0.055383788,-1.081739357,0.27936836,Kendall's rank correlation tau,two.sided,139,93
ITGA11,-0.054980508,-1.073862614,0.282884262,Kendall's rank correlation tau,two.sided,138,94
FAM208B,-0.054577228,-1.065985871,0.286430029,Kendall's rank correlation tau,two.sided,137,95
ZNF250,-0.054577228,-1.065985871,0.286430029,Kendall's rank correlation tau,two.sided,137,95
SON,-0.053905095,-1.052857966,0.292406093,Kendall's rank correlation tau,two.sided,136,96
TTC14,-0.052426401,-1.023976576,0.305846339,Kendall's rank correlation tau,two.sided,135,97
TPR,-0.047318188,-0.924204499,0.355379854,Kendall's rank correlation tau,two.sided,134,98
CRP,-0.046780481,-0.913702175,0.360873361,Kendall's rank correlation tau,two.sided,133,99
PTEN,-0.045032935,-0.879569623,0.379092501,Kendall's rank correlation tau,two.sided,132,100
SH3PXD2A,-0.044629655,-0.87169288,0.383375946,Kendall's rank correlation tau,two.sided,131,101
MRPL18,-0.042747681,-0.834934746,0.40375445,Kendall's rank correlation tau,two.sided,130,102
NYAP2,-0.038849308,-0.758792899,0.447976454,Kendall's rank correlation tau,two.sided,129,103
C11orf87,-0.038042748,-0.743039413,0.457457819,Kendall's rank correlation tau,two.sided,128,104
ZNF536,-0.037370614,-0.729911508,0.465444278,Kendall's rank correlation tau,two.sided,127,105
FAM63B,-0.037236188,-0.727285927,0.467050817,Kendall's rank correlation tau,two.sided,126,106
SH3BGRL2,-0.036429628,-0.711532441,0.476754355,Kendall's rank correlation tau,two.sided,125,107
PTPRG,-0.035354214,-0.690527793,0.489862338,Kendall's rank correlation tau,two.sided,124,108
NSUN5,-0.033741094,-0.659020822,0.509882398,Kendall's rank correlation tau,two.sided,123,109
SP8,-0.030649281,-0.59863246,0.549418005,Kendall's rank correlation tau,two.sided,122,110
ZFP91,-0.029439441,-0.575002231,0.565289788,Kendall's rank correlation tau,two.sided,121,111
CACNB4,-0.028498454,-0.556623164,0.577784924,Kendall's rank correlation tau,two.sided,120,112
ARID2,-0.025406641,-0.496234802,0.61972876,Kendall's rank correlation tau,two.sided,119,113
BLOC1S5,-0.022314827,-0.43584644,0.662948147,Kendall's rank correlation tau,two.sided,118,114
PDZD2,-0.021104987,-0.412216211,0.680180956,Kendall's rank correlation tau,two.sided,117,115
DHFR,-0.020701707,-0.404339468,0.685963106,Kendall's rank correlation tau,two.sided,116,116
TULP4,-0.017475467,-0.341325525,0.732858534,Kendall's rank correlation tau,two.sided,115,117
SLC25A12,-0.01734104,-0.338699944,0.734835783,Kendall's rank correlation tau,two.sided,114,118
XPO1,-0.016400054,-0.320320878,0.748725098,Kendall's rank correlation tau,two.sided,113,119
NKAP,-0.016265627,-0.317695297,0.750716079,Kendall's rank correlation tau,two.sided,112,120
TMEM168,-0.0161312,-0.315069716,0.752708722,Kendall's rank correlation tau,two.sided,111,121
EXOC5,-0.01572792,-0.307192973,0.758696494,Kendall's rank correlation tau,two.sided,110,122
KRAS,-0.01532464,-0.29931623,0.764698772,Kendall's rank correlation tau,two.sided,109,123
ANTXR2,-0.015190214,-0.296690649,0.766702697,Kendall's rank correlation tau,two.sided,108,124
CYCS,-0.014383654,-0.280937163,0.778758596,Kendall's rank correlation tau,two.sided,107,125
NUAK1,-0.012367254,-0.241553449,0.809126197,Kendall's rank correlation tau,two.sided,106,126
TTN,-0.01169512,-0.228425544,0.819315433,Kendall's rank correlation tau,two.sided,105,127
GREB1,-0.009813147,-0.19166741,0.848002735,Kendall's rank correlation tau,two.sided,104,128
UBE2E3,-0.00887216,-0.173288344,0.862424786,Kendall's rank correlation tau,two.sided,103,129
APBB2,-0.007124614,-0.139155791,0.889327042,Kendall's rank correlation tau,two.sided,102,130
PSMD9,-0.00645248,-0.126027886,0.899709851,Kendall's rank correlation tau,two.sided,101,131
SMAD2,-0.00564592,-0.1102744,0.912191759,Kendall's rank correlation tau,two.sided,100,132
TLL2,-0.005377067,-0.105023239,0.916357369,Kendall's rank correlation tau,two.sided,99,133
FGF14,-0.005108213,-0.099772077,0.920525277,Kendall's rank correlation tau,two.sided,98,134
ORMDL2,-0.0040328,-0.078767429,0.937217611,Kendall's rank correlation tau,two.sided,97,135
NRP2,-0.003898373,-0.076141848,0.939306247,Kendall's rank correlation tau,two.sided,96,136
IDE,-0.00282296,-0.0551372,0.95602916,Kendall's rank correlation tau,two.sided,95,137
CTDSPL2,-0.002554107,-0.049886038,0.960213203,Kendall's rank correlation tau,two.sided,94,138
KLF12,-0.0020164,-0.039383714,0.968584464,Kendall's rank correlation tau,two.sided,93,139
ZDHHC13,-0.001344267,-0.02625581,0.979053302,Kendall's rank correlation tau,two.sided,92,140
SLC7A11,-0.00120984,-0.023630229,0.98114756,Kendall's rank correlation tau,two.sided,91,141
TMUB2,-0.001075413,-0.021004648,0.983241948,Kendall's rank correlation tau,two.sided,90,142
TMEM254,-0.00040328,-0.007876743,0.993715333,Kendall's rank correlation tau,two.sided,89,143
