"","ï..Sample","Original.label","Treatment","Weeks.post.transplant","WBC","RBC","HGB","HCT","MCV","MCH","MCHC","PLT","MPV","RDW","Percent.Lym","Percent.Mon","Percent.Gra","Number.Lym","Number.Mon","Number.Gra","GFP"
"147","MIG.10","BMT2.MIG (cage 2/2 REP)","control",33,4.9,10.59,14.8,46.2,44,14,32,682,6.5,14.9,NA,NA,NA,2.5,0.4,2,95.6
"148","MIG.11","BMT2.MIG (cage 1/2 REP)","control",33,6.6,8.47,13.3,40.4,48,15.7,32.9,329,7.7,16.9,NA,NA,NA,3.7,0.6,2.3,45.9
"149","miR532.1","BMT2.532-OE (cage 4/4 REP)","miR-532",33,5.3,9.68,14.1,43.9,45,14.6,32.1,720,6.6,15.7,NA,NA,NA,2.3,0.5,2.5,70.9
"150","miR532.2","BMT2.532-OE (cage 3/4 LEP)","miR-532",33,5.7,9.23,14.2,43,47,15.4,33,1011,6.2,15,NA,NA,NA,3,0.5,2.2,20.5
"151","miR532.3","BMT2.532-OE (cage 1/4 LEP)","miR-532",33,6.6,10.53,16.1,49.3,47,15.2,32.6,795,6.4,14.4,NA,NA,NA,3,0.6,3,70.6
"152","miR532.4","BMT2.532-OE (cage 2/4 LEP)","miR-532",33,5.4,9.61,14.8,44.8,47,15.4,33,700,5.9,14.9,NA,NA,NA,2.9,0.4,2.1,58.7
"153","miR532.5","BMT2.532-OE (cage 1/4 REP)","miR-532",33,4.6,11.02,15.9,49.6,45,14.4,31.9,1261,5.8,14.1,NA,NA,NA,2.8,0.4,1.4,13.2
"154","miR532.6","BMT2.532-OE (cage 1/4 NEP)","miR-532",33,4.1,9.81,14.4,43.8,45,14.7,32.9,936,6.4,15.8,NA,NA,NA,1.7,0.2,2.2,39.6
"155","miR532.7","BMT2.532-OE (cage 2/4, BEP)","miR-532",33,4.6,9.45,14.2,43.9,47,15,32.3,999,5.9,15.1,NA,NA,NA,2.3,0.3,2,46.6
"156","miR532.8","BMT2.532-OE (cage 3/4 BEP)","miR-532",33,3.2,6.58,11.9,35.8,54,18.1,33.2,1315,6.5,16.9,NA,NA,NA,2,0.3,0.9,27
"157","miR532.9","BMT2.532-OE (cage 3/4 REP)","miR-532",33,7.2,9.94,14.1,44,44,14.2,32,1065,6.1,15.9,NA,NA,NA,3.4,0.6,3.2,23.4
"158","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",33,6.4,8.74,13.5,40.9,47,15.5,33.1,593,6.7,14.9,NA,NA,NA,3.8,0.5,2.1,40.5
"160","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",33,3.5,9.37,14,42.9,46,14.9,32.6,709,5.6,15,NA,NA,NA,1.6,0.3,1.6,84.3
"161","miR532.13","BMT2.532-OE (cage 4/4 NEP)","miR-532",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","miR532.14","BMT2.532-OE (cage 3/4 NEP)","miR-532",33,6,9.5,14.4,43.6,46,15.2,33.1,787,6.1,14.8,NA,NA,NA,3.4,0.5,2.1,26.3
"163","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",33,3.3,6.66,11.7,35.6,53,17.6,32.8,705,6.6,16.3,NA,NA,NA,1.9,0.2,1.2,52.5
"164","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",33,7,8.98,13,39.2,44,14.5,33.2,1365,6.1,18,NA,NA,NA,2.5,0.4,4.1,60
"165","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",36,6,8.46,12.3,36.9,44,14.5,33.3,550,7.7,16.9,NA,NA,NA,0.8,0.2,5,NA
"166","MIG.1","BMT1.MIG (NEP cage 1/2)","control",39,15.7,9.24,14.6,44.6,48,15.8,32.8,765,6.6,14.7,NA,NA,NA,6.4,1.3,8,61.7
"167","MIG.2","BMT1.MIG (REP cage 1/2)","control",39,10.5,9.03,13.7,42.5,47,15.2,32.2,524,6.3,15.8,NA,NA,NA,4.4,1,5.1,79
"168","MIG.3","BMT1.MIG (BEP cage 2/2)","control",39,11.4,6.25,11.5,35.1,56,18.4,32.8,457,6.7,17.7,NA,NA,NA,3.7,1.3,6.4,93
"169","MIG.4","BMT1.MIG (REP cage 2/2)","control",39,3.8,9.05,13.6,41.5,46,15,32.7,920,5.9,15.7,NA,NA,NA,1.5,0.3,2,51.5
"170","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",39,136,3.06,5.8,20.4,67,19.1,28.6,697,6.3,17.4,NA,NA,NA,54,16.5,65.5,29.4
"171","miR532.1","BMT2.532-OE (cage 4/4 REP)","miR-532",45,14.3,5.14,7.9,26,51,15.4,30.4,693,11.2,26.3,NA,NA,NA,2.9,0.9,10.5,77.7
"172","MIG.1","BMT1.MIG (NEP cage 1/2)","control",46,11.1,8.62,13.5,41.3,48,15.7,32.8,1329,6.2,15.1,NA,NA,NA,5.5,1.1,4.5,77.3
"173","MIG.2","BMT1.MIG (REP cage 1/2)","control",46,9.9,8.3,13.5,40.4,49,16.2,33.3,729,6.9,15.2,NA,NA,NA,4.5,0.9,4.5,79.6
"174","MIG.3","BMT1.MIG (BEP cage 2/2)","control",46,29.4,3.39,7.6,21.7,64,22.6,35.3,381,6.9,17.6,NA,NA,NA,6,3.4,20,96
"175","MIG.4","BMT1.MIG (REP cage 2/2)","control",46,4.9,8.44,13.2,39.2,46,15.6,33.6,1086,5.8,15.3,NA,NA,NA,1.3,0.3,3.3,56.6
"176","MIG.5","BMT2.MIG (cage 2/2 BEP)","control",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","MIG.6","BMT2.MIG (cage 2/2 LEP)","control",48,9.7,9.22,14.2,41.3,45,15.4,34.4,877,6.2,15.1,NA,NA,NA,4,0.6,5.1,54
"178","MIG.7","BMT2.MIG (cage 1/2 LEP)","control",48,6.3,6.97,11.9,35.9,52,17,33.1,913,6.9,17.8,NA,NA,NA,2.1,0.5,3.7,64.1
"179","MIG.8","BMT2.MIG (cage 1/2 BEP)","control",48,80,2.89,6.2,20,69,21.4,30.9,13,7.1,17.8,NA,NA,NA,NA,NA,NA,96.7
"180","MIG.9","BMT2.MIG (cage 2/2 NEP)","control",48,5,6.45,11,33.2,51,17,33.1,1696,6.4,17.3,NA,NA,NA,2,0.4,2.6,87.4
"181","MIG.10","BMT2.MIG (cage 2/2 REP)","control",48,3.5,8.4,12.6,39.1,47,15,32.1,510,6.8,15.5,NA,NA,NA,1.4,0.4,1.7,95.7
"182","MIG.11","BMT2.MIG (cage 1/2 REP)","control",48,6.5,9.25,13.6,41.9,45,14.7,32.4,624,6.4,15.5,NA,NA,NA,3.5,0.4,2.6,38.5
"183","miR532.1","BMT2.532-OE (cage 4/4 REP)","miR-532",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","miR532.2","BMT2.532-OE (cage 3/4 LEP)","miR-532",48,3.7,8.19,12.8,38.7,47,15.6,33,1013,6.1,14.7,NA,NA,NA,1.7,0.3,1.7,17.3
"185","miR532.3","BMT2.532-OE (cage 1/4 LEP)","miR-532",48,3.8,8.36,13.4,40.8,49,16.1,32.9,1167,6.2,15.2,NA,NA,NA,1.8,0.3,1.7,82.4
"186","miR532.4","BMT2.532-OE (cage 2/4 LEP)","miR-532",48,5.8,9.61,14.5,44.8,47,15.1,32.3,941,6,14.7,NA,NA,NA,3.1,0.4,2.3,65.7
"187","miR532.5","BMT2.532-OE (cage 1/4 REP)","miR-532",48,13.9,9.31,14.1,41.5,45,15.2,34,1553,6.3,15.1,NA,NA,NA,5,1.1,7.8,9.88
"188","miR532.6","BMT2.532-OE (cage 1/4 NEP)","miR-532",48,5.8,8.89,13.5,41.6,47,15.1,32.4,653,6.1,16.2,NA,NA,NA,2.6,0.6,2.6,72.3
"189","miR532.7","BMT2.532-OE (cage 2/4, BEP)","miR-532",48,4.5,7.5,12.3,35.5,47,16.4,34.6,830,6.7,15.6,NA,NA,NA,2.7,0.3,1.5,52.8
"190","miR532.8","BMT2.532-OE (cage 3/4 BEP)","miR-532",48,2.8,6.57,11.2,33.2,51,17,33.6,1321,6.2,14.4,NA,NA,NA,1.6,0.3,0.9,16.3
"191","miR532.9","BMT2.532-OE (cage 3/4 REP)","miR-532",48,6.4,9.6,14.2,44.2,46,14.8,32.2,1079,5.9,14.9,NA,NA,NA,3.2,0.5,2.7,17.4
"192","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",48,5.4,8.94,13.6,41.9,47,15.2,32.5,1162,5.8,14.5,NA,NA,NA,2.7,0.4,2.3,45.2
"194","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",48,7.4,8.88,13.4,40.7,46,15,32.8,647,6.2,14.7,NA,NA,NA,3,0.6,3.8,82.2
"195","miR532.13","BMT2.532-OE (cage 4/4 NEP)","miR-532",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","miR532.14","BMT2.532-OE (cage 3/4 NEP)","miR-532",48,9.8,8.9,13,40.3,45,14.6,32.3,828,6.2,14.3,NA,NA,NA,5.2,0.7,3.9,34.4
"197","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","MIG.1","BMT1.MIG (NEP cage 1/2)","control",49,11.1,8.42,13.2,41.1,49,15.6,32.1,555,7.4,15.2,NA,NA,NA,4.7,1.1,5.3,NA
"200","MIG.2","BMT1.MIG (REP cage 1/2)","control",49,4.9,5.22,8.1,24.6,47,15.4,32.8,145,7.5,14.8,NA,NA,NA,2.1,0.5,2.3,NA
"201","MIG.3","BMT1.MIG (BEP cage 2/2)","control",49,10.4,0.24,0,1.8,75,0,0,5,6.2,19.9,NA,NA,NA,1.6,0.7,8.1,96.8
"202","MIG.4","BMT1.MIG (REP cage 2/2)","control",49,2.5,6.07,9.3,28.5,47,15.4,33,58,8.6,14.6,NA,NA,NA,1,0.2,1.3,50.4
"203","MIG.8","BMT2.MIG (cage 1/2 BEP)","control",50,65.3,1.05,3.3,9.3,89,31.1,35.1,56,6.6,16.4,NA,NA,NA,5,3.3,57,NA
"204","miR532.7","BMT2.532-OE (cage 2/4, BEP)","miR-532",52,3.5,1.99,3.4,10,50,17.2,34.1,158,10.9,23.4,NA,NA,NA,1.6,0.3,1.6,NA
"205","miR532.3","BMT2.532-OE (cage 1/4 LEP)","miR-532",62,1.1,2.57,4.7,12.7,50,18.3,37,20,8,15.6,NA,NA,NA,0.3,0.1,0.7,NA
"206","MIG.6","BMT2.MIG (cage 2/2 LEP)","control",62,13.6,5.74,8.6,25.6,45,15,33.7,384,10.7,19.1,NA,NA,NA,5,1.3,7.3,NA
"207","MIG.5","BMT2.MIG (cage 2/2 BEP)","control",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","MIG.6","BMT2.MIG (cage 2/2 LEP)","control",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","MIG.7","BMT2.MIG (cage 1/2 LEP)","control",64,12.6,3.88,7.9,23.6,61,20.3,33.3,438,7.9,20.5,NA,NA,NA,1.6,0.8,10.2,NA
"210","MIG.8","BMT2.MIG (cage 1/2 BEP)","control",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","MIG.9","BMT2.MIG (cage 2/2 NEP)","control",64,50.2,1.15,2.7,8,69,23.4,33.8,269,7.8,21.3,NA,NA,NA,2.8,2.5,44.9,NA
"212","MIG.10","BMT2.MIG (cage 2/2 REP)","control",64,47.9,5.27,10.2,28.6,54,19.3,35.6,295,7.6,18.2,NA,NA,NA,5.2,4.9,37.8,NA
"213","MIG.11","BMT2.MIG (cage 1/2 REP)","control",64,9,6.43,9.3,27.9,43,14.4,33.2,914,7.1,18.8,NA,NA,NA,3.2,0.5,5.3,NA
"214","miR532.1","BMT2.532-OE (cage 4/4 REP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","miR532.2","BMT2.532-OE (cage 3/4 LEP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","miR532.3","BMT2.532-OE (cage 1/4 LEP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","miR532.4","BMT2.532-OE (cage 2/4 LEP)","miR-532",64,5.4,6.6,10.5,30.6,46,15.9,34.3,469,7.8,15.5,NA,NA,NA,2.2,0.4,2.8,NA
"218","miR532.5","BMT2.532-OE (cage 1/4 REP)","miR-532",64,8.1,8.35,12.8,37.2,45,15.4,34.5,1883,5.6,13.9,NA,NA,NA,2,0.5,5.6,NA
"219","miR532.6","BMT2.532-OE (cage 1/4 NEP)","miR-532",64,3.8,7.32,12.6,36.6,50,17.2,34.4,976,5.9,15.3,NA,NA,NA,1.2,0.3,2.3,NA
"220","miR532.7","BMT2.532-OE (cage 2/4, BEP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","miR532.8","BMT2.532-OE (cage 3/4 BEP)","miR-532",64,1.5,5.38,10,29.4,55,18.6,34,1640,6.2,15.8,NA,NA,NA,0.7,0.1,0.7,NA
"222","miR532.9","BMT2.532-OE (cage 3/4 REP)","miR-532",64,6.7,9.01,14.4,39.1,43,16,36.9,1146,6.3,14.2,NA,NA,NA,2.7,0.5,3.5,NA
"223","miR532.10","BMT2.532-OE (cage 2/4 NEP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",64,2.6,3.65,6.7,19.5,54,18.3,34.1,242,10.7,22.4,NA,NA,NA,1.2,0.2,1.2,NA
"225","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",64,14.1,7.59,11.3,33.5,44,14.9,33.7,1042,6.4,14.6,NA,NA,NA,3.9,1,9.2,NA
"226","miR532.13","BMT2.532-OE (cage 4/4 NEP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","miR532.14","BMT2.532-OE (cage 3/4 NEP)","miR-532",64,11.2,8.34,12.7,37.4,45,15.3,34,1227,6,14.5,NA,NA,NA,5.3,0.7,5.2,NA
"228","miR532.15","BMT2.532-OE (cage 2/4 REP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","miR532.16","BMT2.532-OE (cage 1/4 BEP)","miR-532",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","miR532.11","BMT2.532-OE (cage 4/4 LEP)","miR-532",64,5.1,2.51,4.1,13.8,55,16.2,29.6,420,9.9,24.4,NA,NA,NA,1.6,0.3,3.2,NA
"231","miR532.6","BMT2.532-OE (cage 1/4 NEP)","miR-532",72,46.55,1.325,2.55,6.95,53,19.9,37.5,15.5,7.75,14.55,NA,NA,NA,3.2,3.25,40.1,NA
"232","miR532.12","BMT2.532-OE (cage 4/4 BEP)","miR-532",73,3.3,4.16,6.2,18,43,15,34.5,502,11.5,19.4,NA,NA,NA,1,0.2,2.1,NA
"233","MIG.10","BMT2.MIG (cage 2/2 REP)","control",73,15.6,1.88,4,13,69,21.2,30.6,179,11,38.2,NA,NA,NA,4.7,1,9.9,NA
"234","MIG.12","MB_miR BMT_MIG_1","control",10,4.3,11.8,15.9,53.3,45,13.4,29.7,661,6.4,14.9,67.3,9.6,23.1,2.9,0.4,1,10.12
"235","MIG.13","MB_miR BMT_MIG_2","control",10,6.5,12.34,16.4,55.3,45,13.3,29.6,581,6.7,14.6,66,9.2,24.8,4.3,0.6,1.6,9.41
"236","MIG.14","MB_miR BMT_MIG_3","control",10,2.4,6.37,8.5,27.9,44,13.3,30.4,191,7.8,15.8,69.9,7.1,23,1.6,0.1,0.7,8.94
"237","MIG.15","MB_miR BMT_MIG_4","control",10,7.4,11.76,16.7,54.8,47,14.2,30.5,413,6.7,15.7,63.2,9.2,27.6,4.6,0.6,2.2,10.22
"238","MIG.16","MB_miR BMT_MIG_5","control",10,4.2,11.87,15.8,52.4,44,13.3,30.2,772,6.5,15.5,52.8,10.6,36.6,2.2,0.4,1.6,21.25
"239","miR532.17","MB_miR BMT_532_1","miR-532",10,7.7,11.07,14.9,49,44,13.5,30.5,553,7.2,15.8,50.8,9.1,40.1,3.9,0.7,3.1,30.64
"240","miR532.18","MB_miR BMT_532_2","miR-532",10,6.6,12.05,16,53,44,13.3,30.2,642,6.6,14.8,64.8,8.9,26.3,4.2,0.5,1.9,56.47
"241","miR532.19","MB_miR BMT_532_3","miR-532",10,5.6,11.01,15.2,50.1,46,13.8,30.3,658,6.4,15.7,65.1,9.1,25.8,3.6,0.5,1.5,38.25
"242","miR532.20","MB_miR BMT_532_4","miR-532",10,5.4,11.53,15.8,52.5,46,13.7,30.1,797,7.1,15.9,69.9,8.5,21.6,3.7,0.4,1.3,11.7
"243","miR532.21","MB_miR BMT_532_5","miR-532",10,4.7,10.94,15.3,50.5,46,14,30.4,542,6.2,15.1,70.3,9.9,19.8,3.3,0.4,1,26.61
"244","MIG.12","MB_miR BMT_MIG_1","control",17,5.3,11.14,15.3,50.6,45,13.7,30.2,766,6.3,14.8,64.5,8.5,27,3.3,0.4,1.6,8.98
"245","MIG.13","MB_miR BMT_MIG_2","control",17,1.3,3.79,6.9,16.3,43,18.1,42,98,6.7,14.9,70.8,7,22.2,0.8,0,0.5,5.5
"246","MIG.14","MB_miR BMT_MIG_3","control",17,5.4,10.77,14.6,47.5,44,13.6,30.8,993,6.4,15.3,67.9,8.4,23.7,3.6,0.4,1.4,8.4
"247","MIG.15","MB_miR BMT_MIG_4","control",17,6.2,11.13,15.8,51.4,46,14.2,30.8,552,6.4,14.9,61.9,9.1,29,3.8,0.5,1.9,9.29
"248","MIG.16","MB_miR BMT_MIG_5","control",17,5,11.81,16,51.8,44,13.5,30.8,845,6.6,15.2,44.8,10.2,45,2.2,0.5,2.3,24
"249","miR532.17","MB_miR BMT_532_1","miR-532",17,6.3,11.4,15.6,50.7,44,13.7,30.7,798,6.3,14.7,61.1,8.6,30.3,3.8,0.5,2,27.5
"250","miR532.18","MB_miR BMT_532_2","miR-532",17,6.1,11.51,15.4,50.7,44,13.3,30.3,732,6.3,15.4,61,9.5,29.5,3.7,0.5,1.9,42.1
"251","miR532.19","MB_miR BMT_532_3","miR-532",17,10.8,11.5,15.7,52.1,45,13.6,30.1,551,6.7,15,60.8,8.2,31,6.5,0.8,3.5,35.11
"252","miR532.20","MB_miR BMT_532_4","miR-532",17,7.7,11.87,16.3,53.3,45,13.7,30.5,875,6.7,15.5,63.1,9.7,27.2,4.8,0.7,2.2,10.55
"253","miR532.21","MB_miR BMT_532_5","miR-532",17,12.8,11.67,16,53.7,46,13.7,29.7,519,7,15.7,59.9,9.2,30.9,7.6,1.1,4.1,29.57
"254","MIG.15","MB_miR BMT_MIG_4","control",20,3.7,6.65,10,30.4,46,15.1,33,25,7.6,14.7,46,9.7,44.3,1.7,0.3,1.7,NA
"255","MIG.12","MB_miR BMT_MIG_1","control",27,6.4,12.35,17.4,57.5,47,14.1,30.3,567,7.5,16.3,68.3,8.3,23.4,4.3,0.5,1.6,7.2
"256","MIG.13","MB_miR BMT_MIG_2","control",27,10.5,12.66,17.6,57.8,46,13.9,30.5,431,7.1,15.1,73.8,6.4,19.8,7.7,0.6,2.2,3.4
"257","MIG.14","MB_miR BMT_MIG_3","control",27,8.4,12.6,17.6,57.4,46,13.9,30.6,933,7,16.6,68.8,7.9,23.3,5.7,0.6,2.1,5.7
"258","MIG.15","MB_miR BMT_MIG_4","control",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","MIG.16","MB_miR BMT_MIG_5","control",27,2.6,11.62,15.6,51.9,45,13.4,30,1114,6.5,15.2,57.2,10,32.8,1.5,0.2,0.9,15.2
"260","miR532.17","MB_miR BMT_532_1","miR-532",27,8.6,11.84,16.6,54.4,46,14,30.5,543,7,15.6,65.8,6.5,27.7,5.6,0.5,2.5,22.8
"261","miR532.18","MB_miR BMT_532_2","miR-532",27,6.4,8.81,13.6,41.7,50,15.4,31,441,7.2,16.9,43.7,11.7,44.6,2.7,0.7,3,78
"262","miR532.19","MB_miR BMT_532_3","miR-532",27,9.4,10.73,15.9,51.6,48,14.8,30.8,508,7,15.9,32.3,10.3,57.4,3,0.9,5.5,31.5
"263","miR532.20","MB_miR BMT_532_4","miR-532",27,7,11.29,16.2,52.3,46,14.3,30.9,843,6.7,15.8,29.5,7.1,63.4,2,0.4,4.6,9.2
"264","miR532.21","MB_miR BMT_532_5","miR-532",27,2.4,11.42,16.2,52.9,46,14.2,30.6,695,6.6,15.9,44.8,12.2,43,1,0.2,1.2,34.1
"265","MIG.12","MB_miR BMT_MIG_1","control",30,5,11.21,16.9,54.2,48,15.1,31.2,1188,6.3,15,NA,NA,NA,1.7,0.4,1.3,NA
"266","MIG.13","MB_miR BMT_MIG_2","control",30,8,11.65,16.5,53.4,46,14.2,31,926,6.3,14.7,NA,NA,NA,3.6,0.3,1.1,NA
"267","MIG.14","MB_miR BMT_MIG_3","control",30,5.1,11.05,15.1,49.3,45,13.7,30.7,1011,6.7,14.9,NA,NA,NA,3.5,0.4,1.3,NA
"268","MIG.15","MB_miR BMT_MIG_4","control",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","MIG.16","MB_miR BMT_MIG_5","control",30,1.9,10.93,14.9,48.6,44,13.6,30.6,1342,6.4,15.2,NA,NA,NA,3,0.5,1.5,NA
"270","miR532.17","MB_miR BMT_532_1","miR-532",30,6.2,10.53,15,48.2,46,14.3,31.2,939,6.2,14.8,NA,NA,NA,4.6,0.5,1.1,NA
"271","miR532.18","MB_miR BMT_532_2","miR-532",30,7,9.57,14.9,49,51,15.6,30.4,381,6.9,46,NA,NA,NA,3.4,0.4,1.5,NA
"272","miR532.19","MB_miR BMT_532_3","miR-532",30,5.3,10.35,16.2,51,49,15.6,31.7,795,7.1,15.8,NA,NA,NA,2.7,0.7,1.6,NA
"273","miR532.20","MB_miR BMT_532_4","miR-532",30,4.3,11.59,16.4,53.2,46,14.2,30.9,1201,6.6,16,NA,NA,NA,1,0.2,1,NA
"274","miR532.21","MB_miR BMT_532_5","miR-532",30,2.7,10.67,15.7,50.8,48,14.7,30.9,657,6.4,16.2,NA,NA,NA,1.2,0.3,1.2,NA
"275","MIG.12","MB_miR BMT_MIG_1","control",33,3.3,10.12,15.5,48.3,48,15.3,32,1508,6.4,15.1,60.8,11.9,27.3,1.9,0.3,1.1,2.2
"276","MIG.13","MB_miR BMT_MIG_2","control",33,5.6,10.76,15.8,49.7,46,14.6,31.7,1211,6.2,14.9,72,7.8,20.2,4,0.4,1.2,1.8
"277","MIG.14","MB_miR BMT_MIG_3","control",33,5.5,12.41,17.3,55.5,45,13.9,31.2,971,6.7,15.1,68.4,9,22.6,3.7,0.4,1.4,1.7
"278","MIG.15","MB_miR BMT_MIG_4","control",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","MIG.16","MB_miR BMT_MIG_5","control",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","miR532.17","MB_miR BMT_532_1","miR-532",33,6.6,11.18,16.3,51.9,46,14.6,31.4,1130,6.3,14.8,76.1,6.9,17,5,0.4,1.2,8.5
"281","miR532.18","MB_miR BMT_532_2","miR-532",33,5.5,9.42,14.8,48.3,51,15.7,30.7,466,7.1,46.6,58.5,12.3,29.2,3.2,0.6,1.7,73
"282","miR532.19","MB_miR BMT_532_3","miR-532",33,5.3,5.6,8.7,26.1,47,15.5,33.3,310,7.2,15.7,55.3,13,31.7,2.9,0.6,1.8,42.9
"283","miR532.20","MB_miR BMT_532_4","miR-532",33,2.2,10.51,15,47.4,45,14.3,31.8,1467,6.5,15.9,54.7,6.8,38.5,1.2,0.1,0.9,4.5
"284","miR532.21","MB_miR BMT_532_5","miR-532",33,2.8,10.01,15.4,49,49,15.4,31.4,797,6.5,15.8,48.7,10.8,40.5,1.3,0.2,1.3,14.6
"285","MIG.12","MB_miR BMT_MIG_1","control",42,4.3,7.11,10.5,34.5,45,14.9,31,1664,6.4,15,53.8,10.2,39,2.2,0.4,1.6,0.19
"286","MIG.13","MB_miR BMT_MIG_2","control",42,6.1,10.21,15.3,48.4,46,14.4,31.8,1332,6.3,15,70.1,8.8,25.6,4.5,0.5,1.6,2.44
"287","MIG.14","MB_miR BMT_MIG_3","control",42,5.9,11.98,16.8,52.8,45,13.8,31,998,6.8,15.2,68.2,7.3,28,3.9,0.4,1.6,4.88
"288","MIG.15","MB_miR BMT_MIG_4","control",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","MIG.16","MB_miR BMT_MIG_5","control",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","miR532.17","MB_miR BMT_532_1","miR-532",42,7.2,11.01,15.9,49.8,48,15.1,31.9,1102,6.5,14.7,70.9,8.5,23.9,5.5,0.6,1.8,28.4
"291","miR532.18","MB_miR BMT_532_2","miR-532",42,5.7,8.97,14.2,45.9,47,15.9,30.5,442,7.1,44.2,58.7,15.6,29,3.1,0.8,1.5,70.47
"292","miR532.19","MB_miR BMT_532_3","miR-532",42,5.1,5.7,9.1,28.8,48,15.2,33,354,7.1,15.5,54.7,13.6,36.1,2.6,0.6,1.7,43.7
"293","miR532.20","MB_miR BMT_532_4","miR-532",42,2.5,10.25,14.8,47,47,14.2,31.5,1431,6.7,16,44,10.3,49.8,1.3,0.3,1.5,5.59
"294","miR532.21","MB_miR BMT_532_5","miR-532",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","miR532.21","MB_miR BMT_532_5","miR-532",48,21.8,8.01,13,40,50,16.2,32.4,391,8.1,16.8,21.8,8,70.2,4.7,1.7,15.4,NA
"296","MIG.12","MB_miR BMT_MIG_1","control",50,8.4,8.45,12.8,41.4,49,15.2,31,1868,6.5,14.7,51,9.2,39.8,4.2,0.7,3.5,0.41
"297","MIG.13","MB_miR BMT_MIG_2","control",50,10.5,9.15,13.7,44.3,48,15,31,2011,6.1,15.2,58.6,8.7,32.7,6.1,0.9,3.5,2.03
"298","MIG.14","MB_miR BMT_MIG_3","control",50,7,9.66,12.9,42.7,44,13.3,30.2,968,6.5,14.9,55.6,10.5,33.9,3.8,0.7,2.5,2.81
